X,Y,FID,id,modified,language,rights,rightsHolder,bibliographicCitation,institutionCode,collectionCode,basisOfRecord,catalogNumber,occurrenceRemarks,individualID,individualCount,sex,occurrenceStatus,eventDate,year,waterBody,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,footprintWKT,georeferenceRemarks,scientificNameID,scientificName,kingdom,phylum,class,order_,family,genus,subgenus,specificEpithet,infraspecificEpithet,scientificNameAuthorship
-19648669.36,-5483690.139,1,701,11/02/2014 11:00,en,Creative Commons Attribution 3.0 New Zealand Licence,NIWA,Carcharodon carcharias (Shark 64037 - 33),NIWA,MBIS White shark tagging,Occurrence,Shark 64037 - 33,Immature female 300 cm (TL),Shark 64037,1,female,present,,,Pacific Ocean,-44.1178,-176.507,WGS84,10000,POINT (-176.507 -44.1178),Daily positions were estimated from ambient light data stored on WC PAT4 and Mk10 tags using WC-GPE: Global Position Estimator Program Suite software,urn:lsid:marinespecies.org:taxname:105838,Carcharodon carcharias,Animalia,Chordata,Elasmobranchii,Lamniformes,Lamnidae,Carcharodon,,carcharias,,"(Linnaeus, 1758)"
-19590671.91,-5500172.389,2,1,11/02/2014 11:00,en,Creative Commons Attribution 3.0 New Zealand Licence,NIWA,Carcharodon carcharias (Shark 57033 - 1),NIWA,MBIS White shark tagging,Occurrence,Shark 57033 - 1,Immature female 420-450 cm (TL),Shark 57033,1,female,present,9/04/2005,2005,Pacific Ocean,-44.224,-175.986,WGS84,10000,POINT (-175.986 -44.224),Daily positions were estimated from ambient light data stored on WC PAT4 and Mk10 tags using WC-GPE: Global Position Estimator Program Suite software,urn:lsid:marinespecies.org:taxname:105838,Carcharodon carcharias,Animalia,Chordata,Elasmobranchii,Lamniformes,Lamnidae,Carcharodon,,carcharias,,"(Linnaeus, 1758)"
-19639429.84,-5471913.11,3,702,11/02/2014 11:00,en,Creative Commons Attribution 3.0 New Zealand Licence,NIWA,Carcharodon carcharias (Shark 64037 - 34),NIWA,MBIS White shark tagging,Occurrence,Shark 64037 - 34,Immature female 300 cm (TL),Shark 64037,1,female,present,,,Pacific Ocean,-44.0418,-176.424,WGS84,10000,POINT (-176.424 -44.0418),Daily positions were estimated from ambient light data stored on WC PAT4 and Mk10 tags using WC-GPE: Global Position Estimator Program Suite software,urn:lsid:marinespecies.org:taxname:105838,Carcharodon carcharias,Animalia,Chordata,Elasmobranchii,Lamniformes,Lamnidae,Carcharodon,,carcharias,,"(Linnaeus, 1758)"
-19550819.53,-5404593.989,4,703,11/02/2014 11:00,en,Creative Commons Attribution 3.0 New Zealand Licence,NIWA,Carcharodon carcharias (Shark 64037 - 35),NIWA,MBIS White shark tagging,Occurrence,Shark 64037 - 35,Immature female 300 cm (TL),Shark 64037,1,female,present,,,Pacific Ocean,-43.6055,-175.628,WGS84,10000,POINT (-175.628 -43.6055),Daily positions were estimated from ambient light data stored on WC PAT4 and Mk10 tags using WC-GPE: Global Position Estimator Program Suite software,urn:lsid:marinespecies.org:taxname:105838,Carcharodon carcharias,Animalia,Chordata,Elasmobranchii,Lamniformes,Lamnidae,Carcharodon,,carcharias,,"(Linnaeus, 1758)"
-19576200.37,-5629900.629,5,2,11/02/2014 11:00,en,Creative Commons Attribution 3.0 New Zealand Licence,NIWA,Carcharodon carcharias (Shark 57033 - 2),NIWA,MBIS White shark tagging,Occurrence,Shark 57033 - 2,Immature female 420-450 cm (TL),Shark 57033,1,female,present,,2005,Pacific Ocean,-45.0532,-175.856,WGS84,10000,POINT (-175.856 -45.0532),Daily positions were estimated from ambient light data stored on WC PAT4 and Mk10 tags using WC-GPE: Global Position Estimator Program Suite software,urn:lsid:marinespecies.org:taxname:105838,Carcharodon carcharias,Animalia,Chordata,Elasmobranchii,Lamniformes,Lamnidae,Carcharodon,,carcharias,,"(Linnaeus, 1758)"
-19502506.87,-5343700.621,6,704,11/02/2014 11:00,en,Creative Commons Attribution 3.0 New Zealand Licence,NIWA,Carcharodon carcharias (Shark 64037 - 36),NIWA,MBIS White shark tagging,Occurrence,Shark 64037 - 36,Immature female 300 cm (TL),Shark 64037,1,female,present,,,Pacific Ocean,-43.2081,-175.194,WGS84,10000,POINT (-175.194 -43.2081),Daily positions were estimated from ambient light data stored on WC PAT4 and Mk10 tags using WC-GPE: Global Position Estimator Program Suite software,urn:lsid:marinespecies.org:taxname:105838,Carcharodon carcharias,Animalia,Chordata,Elasmobranchii,Lamniformes,Lamnidae,Carcharodon,,carcharias,,"(Linnaeus, 1758)"
-19598352.95,-5665963.124,7,3,11/02/2014 11:00,en,Creative Commons Attribution 3.0 New Zealand Licence,NIWA,Carcharodon carcharias (Shark 57033 - 3),NIWA,MBIS White shark tagging,Occurrence,Shark 57033 - 3,Immature female 420-450 cm (TL),Shark 57033,1,female,present,,2005,Pacific Ocean,-45.2816,-176.055,WGS84,10000,POINT (-176.055 -45.2816),Daily positions were estimated from ambient light data stored on WC PAT4 and Mk10 tags using WC-GPE: Global Position Estimator Program Suite software,urn:lsid:marinespecies.org:taxname:105838,Carcharodon carcharias,Animalia,Chordata,Elasmobranchii,Lamniformes,Lamnidae,Carcharodon,,carcharias,,"(Linnaeus, 1758)"
-19632639.35,-5650866.858,8,4,11/02/2014 11:00,en,Creative Commons Attribution 3.0 New Zealand Licence,NIWA,Carcharodon carcharias (Shark 57033 - 4),NIWA,MBIS White shark tagging,Occurrence,Shark 57033 - 4,Immature female 420-450 cm (TL),Shark 57033,1,female,present,,2005,Pacific Ocean,-45.1861,-176.363,WGS84,10000,POINT (-176.363 -45.1861),Daily positions were estimated from ambient light data stored on WC PAT4 and Mk10 tags using WC-GPE: Global Position Estimator Program Suite software,urn:lsid:marinespecies.org:taxname:105838,Carcharodon carcharias,Animalia,Chordata,Elasmobranchii,Lamniformes,Lamnidae,Carcharodon,,carcharias,,"(Linnaeus, 1758)"
-19631971.44,-5681877.237,9,5,11/02/2014 11:00,en,Creative Commons Attribution 3.0 New Zealand Licence,NIWA,Carcharodon carcharias (Shark 57033 - 5),NIWA,MBIS White shark tagging,Occurrence,Shark 57033 - 5,Immature female 420-450 cm (TL),Shark 57033,1,female,present,,2005,Pacific Ocean,-45.3821,-176.357,WGS84,10000,POINT (-176.357 -45.3821),Daily positions were estimated from ambient light data stored on WC PAT4 and Mk10 tags using WC-GPE: Global Position Estimator Program Suite software,urn:lsid:marinespecies.org:taxname:105838,Carcharodon carcharias,Animalia,Chordata,Elasmobranchii,Lamniformes,Lamnidae,Carcharodon,,carcharias,,"(Linnaeus, 1758)"
-19638205.33,-5727655.138,10,6,11/02/2014 11:00,en,Creative Commons Attribution 3.0 New Zealand Licence,NIWA,Carcharodon carcharias (Shark 57033 - 6),NIWA,MBIS White shark tagging,Occurrence,Shark 57033 - 6,Immature female 420-450 cm (TL),Shark 57033,1,female,present,,2005,Pacific Ocean,-45.6702,-176.413,WGS84,10000,POINT (-176.413 -45.6702),Daily positions were estimated from ambient light data stored on WC PAT4 and Mk10 tags using WC-GPE: Global Position Estimator Program Suite software,urn:lsid:marinespecies.org:taxname:105838,Carcharodon carcharias,Animalia,Chordata,Elasmobranchii,Lamniformes,Lamnidae,Carcharodon,,carcharias,,"(Linnaeus, 1758)"
-19606145.32,-5749043.429,11,7,11/02/2014 11:00,en,Creative Commons Attribution 3.0 New Zealand Licence,NIWA,Carcharodon carcharias (Shark 57033 - 7),NIWA,MBIS White shark tagging,Occurrence,Shark 57033 - 7,Immature female 420-450 cm (TL),Shark 57033,1,female,present,,2005,Pacific Ocean,-45.8043,-176.125,WGS84,10000,POINT (-176.125 -45.8043),Daily positions were estimated from ambient light data stored on WC PAT4 and Mk10 tags using WC-GPE: Global Position Estimator Program Suite software,urn:lsid:marinespecies.org:taxname:105838,Carcharodon carcharias,Animalia,Chordata,Elasmobranchii,Lamniformes,Lamnidae,Carcharodon,,carcharias,,"(Linnaeus, 1758)"
-19488480.61,-5380397.199,12,705,11/02/2014 11:00,en,Creative Commons Attribution 3.0 New Zealand Licence,NIWA,Carcharodon carcharias (Shark 64037 - 37),NIWA,MBIS White shark tagging,Occurrence,Shark 64037 - 37,Immature female 300 cm (TL),Shark 64037,1,female,present,,,Pacific Ocean,-43.4479,-175.068,WGS84,10000,POINT (-175.068 -43.4479),Daily positions were estimated from ambient light data stored on WC PAT4 and Mk10 tags using WC-GPE: Global Position Estimator Program Suite software,urn:lsid:marinespecies.org:taxname:105838,Carcharodon carcharias,Animalia,Chordata,Elasmobranchii,Lamniformes,Lamnidae,Carcharodon,,carcharias,,"(Linnaeus, 1758)"
-19622286.64,-5736787.922,13,8,11/02/2014 11:00,en,Creative Commons Attribution 3.0 New Zealand Licence,NIWA,Carcharodon carcharias (Shark 57033 - 8),NIWA,MBIS White shark tagging,Occurrence,Shark 57033 - 8,Immature female 420-450 cm (TL),Shark 57033,1,female,present,,2005,Pacific Ocean,-45.7275,-176.27,WGS84,10000,POINT (-176.27 -45.7275),Daily positions were estimated from ambient light data stored on WC PAT4 and Mk10 tags using WC-GPE: Global Position Estimator Program Suite software,urn:lsid:marinespecies.org:taxname:105838,Carcharodon carcharias,Animalia,Chordata,Elasmobranchii,Lamniformes,Lamnidae,Carcharodon,,carcharias,,"(Linnaeus, 1758)"
-19595236.01,-5399399.246,14,706,11/02/2014 11:00,en,Creative Commons Attribution 3.0 New Zealand Licence,NIWA,Carcharodon carcharias (Shark 64037 - 38),NIWA,MBIS White shark tagging,Occurrence,Shark 64037 - 38,Immature female 300 cm (TL),Shark 64037,1,female,present,,,Pacific Ocean,-43.5717,-176.027,WGS84,10000,POINT (-176.027 -43.5717),Daily positions were estimated from ambient light data stored on WC PAT4 and Mk10 tags using WC-GPE: Global Position Estimator Program Suite software,urn:lsid:marinespecies.org:taxname:105838,Carcharodon carcharias,Animalia,Chordata,Elasmobranchii,Lamniformes,Lamnidae,Carcharodon,,carcharias,,"(Linnaeus, 1758)"
-19601692.54,-5502735.858,15,9,11/02/2014 11:00,en,Creative Commons Attribution 3.0 New Zealand Licence,NIWA,Carcharodon carcharias (Shark 57033 - 9),NIWA,MBIS White shark tagging,Occurrence,Shark 57033 - 9,Immature female 420-450 cm (TL),Shark 57033,1,female,present,,2005,Pacific Ocean,-44.2405,-176.085,WGS84,10000,POINT (-176.085 -44.2405),Daily positions were estimated from ambient light data stored on WC PAT4 and Mk10 tags using WC-GPE: Global Position Estimator Program Suite software,urn:lsid:marinespecies.org:taxname:105838,Carcharodon carcharias,Animalia,Chordata,Elasmobranchii,Lamniformes,Lamnidae,Carcharodon,,carcharias,,"(Linnaeus, 1758)"
-19716574.25,-5494612.909,16,707,11/02/2014 11:00,en,Creative Commons Attribution 3.0 New Zealand Licence,NIWA,Carcharodon carcharias (Shark 64037 - 39),NIWA,MBIS White shark tagging,Occurrence,Shark 64037 - 39,Immature female 300 cm (TL),Shark 64037,1,female,present,,,Pacific Ocean,-44.1882,-177.117,WGS84,10000,POINT (-177.117 -44.1882),Daily positions were estimated from ambient light data stored on WC PAT4 and Mk10 tags using WC-GPE: Global Position Estimator Program Suite software,urn:lsid:marinespecies.org:taxname:105838,Carcharodon carcharias,Animalia,Chordata,Elasmobranchii,Lamniformes,Lamnidae,Carcharodon,,carcharias,,"(Linnaeus, 1758)"
-19926745.45,-5700820.968,17,708,11/02/2014 11:00,en,Creative Commons Attribution 3.0 New Zealand Licence,NIWA,Carcharodon carcharias (Shark 64037 - 40),NIWA,MBIS White shark tagging,Occurrence,Shark 64037 - 40,Immature female 300 cm (TL),Shark 64037,1,female,present,,,Pacific Ocean,-45.5015,-179.005,WGS84,10000,POINT (-179.005 -45.5015),Daily positions were estimated from ambient light data stored on WC PAT4 and Mk10 tags using WC-GPE: Global Position Estimator Program Suite software,urn:lsid:marinespecies.org:taxname:105838,Carcharodon carcharias,Animalia,Chordata,Elasmobranchii,Lamniformes,Lamnidae,Carcharodon,,carcharias,,"(Linnaeus, 1758)"
-19961699.77,-5737537.449,18,709,11/02/2014 11:00,en,Creative Commons Attribution 3.0 New Zealand Licence,NIWA,Carcharodon carcharias (Shark 64037 - 41),NIWA,MBIS White shark tagging,Occurrence,Shark 64037 - 41,Immature female 300 cm (TL),Shark 64037,1,female,present,,,Pacific Ocean,-45.7322,-179.319,WGS84,10000,POINT (-179.319 -45.7322),Daily positions were estimated from ambient light data stored on WC PAT4 and Mk10 tags using WC-GPE: Global Position Estimator Program Suite software,urn:lsid:marinespecies.org:taxname:105838,Carcharodon carcharias,Animalia,Chordata,Elasmobranchii,Lamniformes,Lamnidae,Carcharodon,,carcharias,,"(Linnaeus, 1758)"
-20004223.82,-5784035.753,19,710,11/02/2014 11:00,en,Creative Commons Attribution 3.0 New Zealand Licence,NIWA,Carcharodon carcharias (Shark 64037 - 42),NIWA,MBIS White shark tagging,Occurrence,Shark 64037 - 42,Immature female 300 cm (TL),Shark 64037,1,female,present,,,Pacific Ocean,-46.023,-179.701,WGS84,10000,POINT (-179.701 -46.023),Daily positions were estimated from ambient light data stored on WC PAT4 and Mk10 tags using WC-GPE: Global Position Estimator Program Suite software,urn:lsid:marinespecies.org:taxname:105838,Carcharodon carcharias,Animalia,Chordata,Elasmobranchii,Lamniformes,Lamnidae,Carcharodon,,carcharias,,"(Linnaeus, 1758)"
-19970716.65,-5785190.113,20,711,11/02/2014 11:00,en,Creative Commons Attribution 3.0 New Zealand Licence,NIWA,Carcharodon carcharias (Shark 64037 - 43),NIWA,MBIS White shark tagging,Occurrence,Shark 64037 - 43,Immature female 300 cm (TL),Shark 64037,1,female,present,,,Pacific Ocean,-46.0302,-179.4,WGS84,10000,POINT (-179.4 -46.0302),Daily positions were estimated from ambient light data stored on WC PAT4 and Mk10 tags using WC-GPE: Global Position Estimator Program Suite software,urn:lsid:marinespecies.org:taxname:105838,Carcharodon carcharias,Animalia,Chordata,Elasmobranchii,Lamniformes,Lamnidae,Carcharodon,,carcharias,,"(Linnaeus, 1758)"
-19636312.9,-5500452.005,21,10,11/02/2014 11:00,en,Creative Commons Attribution 3.0 New Zealand Licence,NIWA,Carcharodon carcharias (Shark 57033 - 10),NIWA,MBIS White shark tagging,Occurrence,Shark 57033 - 10,Immature female 420-450 cm (TL),Shark 57033,1,female,present,,2005,Pacific Ocean,-44.2258,-176.396,WGS84,10000,POINT (-176.396 -44.2258),Daily positions were estimated from ambient light data stored on WC PAT4 and Mk10 tags using WC-GPE: Global Position Estimator Program Suite software,urn:lsid:marinespecies.org:taxname:105838,Carcharodon carcharias,Animalia,Chordata,Elasmobranchii,Lamniformes,Lamnidae,Carcharodon,,carcharias,,"(Linnaeus, 1758)"
-19995986.17,-5806862.273,22,712,11/02/2014 11:00,en,Creative Commons Attribution 3.0 New Zealand Licence,NIWA,Carcharodon carcharias (Shark 64037 - 44),NIWA,MBIS White shark tagging,Occurrence,Shark 64037 - 44,Immature female 300 cm (TL),Shark 64037,1,female,present,,,Pacific Ocean,-46.1652,-179.627,WGS84,10000,POINT (-179.627 -46.1652),Daily positions were estimated from ambient light data stored on WC PAT4 and Mk10 tags using WC-GPE: Global Position Estimator Program Suite software,urn:lsid:marinespecies.org:taxname:105838,Carcharodon carcharias,Animalia,Chordata,Elasmobranchii,Lamniformes,Lamnidae,Carcharodon,,carcharias,,"(Linnaeus, 1758)"
-19613937.68,-5533584.923,23,11,11/02/2014 11:00,en,Creative Commons Attribution 3.0 New Zealand Licence,NIWA,Carcharodon carcharias (Shark 57033 - 11),NIWA,MBIS White shark tagging,Occurrence,Shark 57033 - 11,Immature female 420-450 cm (TL),Shark 57033,1,female,present,,2005,Pacific Ocean,-44.4387,-176.195,WGS84,10000,POINT (-176.195 -44.4387),Daily positions were estimated from ambient light data stored on WC PAT4 and Mk10 tags using WC-GPE: Global Position Estimator Program Suite software,urn:lsid:marinespecies.org:taxname:105838,Carcharodon carcharias,Animalia,Chordata,Elasmobranchii,Lamniformes,Lamnidae,Carcharodon,,carcharias,,"(Linnaeus, 1758)"
-19663697.49,-5450968.775,24,101,11/02/2014 11:00,en,Creative Commons Attribution 3.0 New Zealand Licence,NIWA,Carcharodon carcharias (Shark 57035 - 32),NIWA,MBIS White shark tagging,Occurrence,Shark 57035 - 32,Immature female 400 cm (TL),Shark 57035,1,female,present,,2005,Pacific Ocean,-43.9064,-176.642,WGS84,10000,POINT (-176.642 -43.9064),Daily positions were estimated from ambient light data stored on WC PAT4 and Mk10 tags using WC-GPE: Global Position Estimator Program Suite software,urn:lsid:marinespecies.org:taxname:105838,Carcharodon carcharias,Animalia,Chordata,Elasmobranchii,Lamniformes,Lamnidae,Carcharodon,,carcharias,,"(Linnaeus, 1758)"
-19641322.28,-5577125.413,25,12,11/02/2014 11:00,en,Creative Commons Attribution 3.0 New Zealand Licence,NIWA,Carcharodon carcharias (Shark 57033 - 12),NIWA,MBIS White shark tagging,Occurrence,Shark 57033 - 12,Immature female 420-450 cm (TL),Shark 57033,1,female,present,,2005,Pacific Ocean,-44.7173,-176.441,WGS84,10000,POINT (-176.441 -44.7173),Daily positions were estimated from ambient light data stored on WC PAT4 and Mk10 tags using WC-GPE: Global Position Estimator Program Suite software,urn:lsid:marinespecies.org:taxname:105838,Carcharodon carcharias,Animalia,Chordata,Elasmobranchii,Lamniformes,Lamnidae,Carcharodon,,carcharias,,"(Linnaeus, 1758)"
-19627296.02,-5417101.002,26,102,11/02/2014 11:00,en,Creative Commons Attribution 3.0 New Zealand Licence,NIWA,Carcharodon carcharias (Shark 57035 - 33),NIWA,MBIS White shark tagging,Occurrence,Shark 57035 - 33,Immature female 400 cm (TL),Shark 57035,1,female,present,,2005,Pacific Ocean,-43.6868,-176.315,WGS84,10000,POINT (-176.315 -43.6868),Daily positions were estimated from ambient light data stored on WC PAT4 and Mk10 tags using WC-GPE: Global Position Estimator Program Suite software,urn:lsid:marinespecies.org:taxname:105838,Carcharodon carcharias,Animalia,Chordata,Elasmobranchii,Lamniformes,Lamnidae,Carcharodon,,carcharias,,"(Linnaeus, 1758)"
-19948230.11,-5784356.393,27,713,11/02/2014 11:00,en,Creative Commons Attribution 3.0 New Zealand Licence,NIWA,Carcharodon carcharias (Shark 64037 - 45),NIWA,MBIS White shark tagging,Occurrence,Shark 64037 - 45,Immature female 300 cm (TL),Shark 64037,1,female,present,,,Pacific Ocean,-46.025,-179.198,WGS84,10000,POINT (-179.198 -46.025),Daily positions were estimated from ambient light data stored on WC PAT4 and Mk10 tags using WC-GPE: Global Position Estimator Program Suite software,urn:lsid:marinespecies.org:taxname:105838,Carcharodon carcharias,Animalia,Chordata,Elasmobranchii,Lamniformes,Lamnidae,Carcharodon,,carcharias,,"(Linnaeus, 1758)"
-19661137.14,-5579115.195,28,13,11/02/2014 11:00,en,Creative Commons Attribution 3.0 New Zealand Licence,NIWA,Carcharodon carcharias (Shark 57033 - 13),NIWA,MBIS White shark tagging,Occurrence,Shark 57033 - 13,Immature female 420-450 cm (TL),Shark 57033,1,female,present,,2005,Pacific Ocean,-44.73,-176.619,WGS84,10000,POINT (-176.619 -44.73),Daily positions were estimated from ambient light data stored on WC PAT4 and Mk10 tags using WC-GPE: Global Position Estimator Program Suite software,urn:lsid:marinespecies.org:taxname:105838,Carcharodon carcharias,Animalia,Chordata,Elasmobranchii,Lamniformes,Lamnidae,Carcharodon,,carcharias,,"(Linnaeus, 1758)"
-19858395.28,-5732212.391,29,714,11/02/2014 11:00,en,Creative Commons Attribution 3.0 New Zealand Licence,NIWA,Carcharodon carcharias (Shark 64037 - 46),NIWA,MBIS White shark tagging,Occurrence,Shark 64037 - 46,Immature female 300 cm (TL),Shark 64037,1,female,present,,,Pacific Ocean,-45.6988,-178.391,WGS84,10000,POINT (-178.391 -45.6988),Daily positions were estimated from ambient light data stored on WC PAT4 and Mk10 tags using WC-GPE: Global Position Estimator Program Suite software,urn:lsid:marinespecies.org:taxname:105838,Carcharodon carcharias,Animalia,Chordata,Elasmobranchii,Lamniformes,Lamnidae,Carcharodon,,carcharias,,"(Linnaeus, 1758)"
-19569075.93,-5459640.805,30,103,11/02/2014 11:00,en,Creative Commons Attribution 3.0 New Zealand Licence,NIWA,Carcharodon carcharias (Shark 57035 - 34),NIWA,MBIS White shark tagging,Occurrence,Shark 57035 - 34,Immature female 400 cm (TL),Shark 57035,1,female,present,,2005,Pacific Ocean,-43.9625,-175.792,WGS84,10000,POINT (-175.792 -43.9625),Daily positions were estimated from ambient light data stored on WC PAT4 and Mk10 tags using WC-GPE: Global Position Estimator Program Suite software,urn:lsid:marinespecies.org:taxname:105838,Carcharodon carcharias,Animalia,Chordata,Elasmobranchii,Lamniformes,Lamnidae,Carcharodon,,carcharias,,"(Linnaeus, 1758)"
-19644216.58,-5572912.279,31,14,11/02/2014 11:00,en,Creative Commons Attribution 3.0 New Zealand Licence,NIWA,Carcharodon carcharias (Shark 57033 - 14),NIWA,MBIS White shark tagging,Occurrence,Shark 57033 - 14,Immature female 420-450 cm (TL),Shark 57033,1,female,present,,2005,Pacific Ocean,-44.6904,-176.467,WGS84,10000,POINT (-176.467 -44.6904),Daily positions were estimated from ambient light data stored on WC PAT4 and Mk10 tags using WC-GPE: Global Position Estimator Program Suite software,urn:lsid:marinespecies.org:taxname:105838,Carcharodon carcharias,Animalia,Chordata,Elasmobranchii,Lamniformes,Lamnidae,Carcharodon,,carcharias,,"(Linnaeus, 1758)"
-19630301.65,-5608244.206,32,104,11/02/2014 11:00,en,Creative Commons Attribution 3.0 New Zealand Licence,NIWA,Carcharodon carcharias (Shark 57035 - 35),NIWA,MBIS White shark tagging,Occurrence,Shark 57035 - 35,Immature female 400 cm (TL),Shark 57035,1,female,present,,2005,Pacific Ocean,-44.9156,-176.342,WGS84,10000,POINT (-176.342 -44.9156),Daily positions were estimated from ambient light data stored on WC PAT4 and Mk10 tags using WC-GPE: Global Position Estimator Program Suite software,urn:lsid:marinespecies.org:taxname:105838,Carcharodon carcharias,Animalia,Chordata,Elasmobranchii,Lamniformes,Lamnidae,Carcharodon,,carcharias,,"(Linnaeus, 1758)"
